,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
0,2023-04-06,Britannia Hotels Ltd,Food & Beverage Assistant,"Your, Papua, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
1,2023-05-16,PT. Dealma Global Utama,Virtual Assistant,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
2,2023-05-03,Barfoot & Thompson,Virtual Assistant,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
3,2023-05-26,Prudential Indonesia (PT Prudential Life Assurance),business analyst,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
4,2023-04-06,Britannia Hotels Ltd,Night Porter,"Your, Papua, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
5,2023-03-26,BASED by Basil,Digital Paid-Advertising Associates,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
6,2023-04-12,Britannia Hotels Ltd,Bar Attendant,"Your, Papua, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
7,2023-05-17,NRI (Nomura Research Institute),Admin Staff (Interior Residential),"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
8,2023-05-23,BIASA Group,Visual Merchandiser,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
9,2023-05-18,TalentKompass Deutschland,Junior Frontend Developer (Remote Internship – IT),"Ubud, Bali, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
10,2023-05-09,byOrange,HRGA (Logistic) - Intern,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/staff-lead-software-engineer-%E2%80%93-observability-platform-bangkok-based-relocation-provided-at-agoda-3570503270?refId=3aDKHTLG%2FRkQX2atR0DxfQ%3D%3D&trackingId=BlcGh7y7PoRDGUEvCaJMTA%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card
